model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops,fc_size
gru,50,128,1,1.210088542771979,1.3550694773269671,0.5896650812080567,5455.701452732086,132289,0.5046424865722656,4923520,128
gru,50,256,1,1.1580696324077027,1.3541107996742545,0.5933769371808723,4914.432492494583,452673,1.7268104553222656,19677440,128
gru,50,128,2,1.1529035697305174,1.3250981380525022,0.5983933222455832,3485.9174036979675,231361,0.8825721740722656,9838720,128
lstm,50,128,1,1.1808044279327934,1.3483031569064792,0.5917855013471168,4147.947878360748,165313,0.6306190490722656,6561920,128
lstm,50,256,1,1.1076483103628225,1.3428855222562779,0.59889989196168,2700.6531541347504,584257,2.2287635803222656,26231040,128
lstm,50,128,2,1.1160158061122745,1.3287077882956035,0.5999444118187646,3066.677216529846,297409,1.1345252990722656,13115520,128
