model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops
gru,20,128,1,1.2899214085313055,1.3902142931692776,0.576290485262804,4927.177349090576,115777,0.4416542053222656,1974400
gru,30,128,1,1.2846186861822255,1.3841352235019309,0.5796532973510914,4436.4271602630615,115777,0.4416542053222656,2957440
lstm,20,128,1,1.2544654887264448,1.3703503916472863,0.5815488064552281,3708.817917585373,148801,0.5676307678222656,2629760
lstm,30,128,1,1.2475208889452292,1.3671396065736323,0.5842661370941351,4196.279092550278,148801,0.5676307678222656,3940480
