model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,avg_epoch_time,trainable_params,model_size_MB
rnn,10,24,1,1.4587550520896913,2.224257677793503,0.44025157232704404,3.5273094177246094,0.1408524513244629,3454,0.01317596435546875
rnn,20,24,1,1.3425846497217815,2.2558634728193283,0.4357894736842105,4.053927421569824,0.12649763375520706,3454,0.01317596435546875
rnn,30,24,1,1.4078549901644388,2.125472992658615,0.4418604651162791,3.5070505142211914,0.1296697634237784,3454,0.01317596435546875
gru,10,24,1,1.1906009395917256,2.1794999092817307,0.48846960167714887,3.395235538482666,0.12107945340020317,5854,0.02233123779296875
gru,20,24,1,1.2233818411827087,2.269871950149536,0.4168421052631579,3.2684671878814697,0.1256118921133188,5854,0.02233123779296875
gru,30,24,1,1.180655841032664,2.1723361909389496,0.47780126849894294,3.5047359466552734,0.12965679168701172,5854,0.02233123779296875
lstm,10,24,1,1.2489041169484456,2.1089679449796677,0.4758909853249476,3.8549084663391113,0.1241582824337867,7054,0.02690887451171875
lstm,20,24,1,1.2596201757589975,2.2389726042747498,0.42736842105263156,4.601109027862549,0.12421944334700301,7054,0.02690887451171875
lstm,30,24,1,1.280112624168396,2.1309639364480972,0.452431289640592,4.045964956283569,0.1346590995788574,7054,0.02690887451171875
