model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops
transformer,20,64,4,1.474612273293486,1.4198986726352967,0.5594037879636894,13295.206666469574,208321,0.7995643615722656,1417280
transformer,30,64,4,1.4554096526987779,1.4117014327920585,0.5641337140756614,12985.52212023735,208321,0.8020057678222656,2200640
transformer,50,64,4,1.4468840486374703,1.4079807376936804,0.5642514199642263,15196.10207939148,208321,0.8068885803222656,3920960
