model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops
transformer,20,64,2,1.5462172649806656,1.4748259418426541,0.5456102207777653,8789.839762210846,108353,0.4182167053222656,710720
transformer,30,64,2,1.5316141371421592,1.4643335133124136,0.5502324351221349,8807.10003232956,108353,0.4206581115722656,1102400
transformer,50,64,2,1.5218736056429194,1.4576772868428092,0.5518382204609336,10218.245141506195,108353,0.4255409240722656,1962560
