model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops
transformer,10,64,1,1.7744017203648885,2.3623851388692856,0.3710691823899371,7.517064332962036,55918,0.21575164794921875,173184
transformer,20,64,1,1.8540211240450541,2.320997714996338,0.3452631578947368,20.04493761062622,55918,0.21819305419921875,356224
transformer,30,64,1,1.914992594718933,2.2651852667331696,0.39112050739957716,19.95124912261963,55918,0.22063446044921875,552064
