model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops
transformer,20,64,2,1.57326209260856,1.4926640626622285,0.5396839627927827,7560.683490753174,108353,0.4182167053222656,710720
transformer,30,64,2,1.5630149492136436,1.4926567655900944,0.5426609226576053,7662.126739501953,108353,0.4206581115722656,1102400
transformer,50,64,2,1.560220688406184,1.4936430882395373,0.5417830357423039,9129.087198972702,108353,0.4255409240722656,1962560
