model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops
transformer,20,64,4,1.4576263347452139,1.4103319057772643,0.5617931189061974,12090.844912528992,208321,0.7995643615722656,1417280
transformer,30,64,4,1.4439978847619597,1.401824398794464,0.5668772105992209,11893.013871192932,208321,0.8020057678222656,2200640
transformer,50,64,4,1.4312369468615362,1.3972705164758625,0.567591193756192,13684.59679055214,208321,0.8068885803222656,3920960
