model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops
transformer,20,64,1,1.7169896880446485,1.614153772678036,0.5073450633195113,4931.128401041031,58369,0.22754287719726562,357440
transformer,30,64,1,1.7247893921803823,1.6339967160544995,0.5029788454900413,5590.950261116028,58369,0.22998428344726562,553280
transformer,50,64,1,1.7147012585342538,1.6175158657496918,0.5097705194356903,7655.884500026703,58369,0.23486709594726562,983360
