pipeline,total_frames_read,sampled_frames,classifier_runs,yolo_runs,yolo_calls_avoided,yolo_avoidance_percent,total_classifier_time_sec,total_yolo_time_sec,total_wall_time_sec,peak_gpu_memory_mb,cpu_ram_mb,estimated_total_gflops,estimated_gflops_per_sampled_frame
CNN_to_YOLO,366,7,7,4,3,42.857142857142854,0.42030858993530273,0.9738020896911621,8.736713886260986,365.71826171875,743.16015625,35.9,5.128571428571428
CNN_to_YOLO,630,11,11,11,0,0.0,0.3788461685180664,1.2022364139556885,6.301242113113403,365.71826171875,733.65234375,94.6,8.6
CNN_to_YOLO,630,11,11,11,0,0.0,0.36248064041137695,1.1399502754211426,6.454998731613159,365.71826171875,733.09765625,94.6,8.6
CNN_to_YOLO,988,17,17,0,17,100.0,0.40692973136901855,0.0,7.744282960891724,46.44677734375,634.9375,8.5,0.5
CNN_to_YOLO,988,17,17,0,17,100.0,0.37746214866638184,0.0,7.216024875640869,46.44677734375,636.3671875,8.5,0.5
CNN_to_YOLO,988,17,17,0,17,100.0,0.3790130615234375,0.0,7.10215950012207,46.44677734375,636.04296875,8.5,0.5
CNN_to_YOLO,988,17,17,0,17,100.0,0.39070701599121094,0.0,6.4432337284088135,46.44677734375,635.43359375,8.5,0.5
CNN_to_YOLO,261,6,6,0,6,100.0,0.38053369522094727,0.0,2.608428955078125,46.44677734375,634.08203125,3.0,0.5
CNN_to_YOLO,988,17,17,0,17,100.0,0.42463111877441406,0.0,8.236482381820679,46.44677734375,604.8203125,8.5,0.5
CNN_to_YOLO,630,11,11,11,0,0.0,0.3908560276031494,1.0863103866577148,6.267227649688721,191.83447265625,728.19140625,94.6,8.6
CNN_to_YOLO,366,7,7,0,7,100.0,0.3870856761932373,0.0,7.138333082199097,46.44677734375,603.76953125,3.5,0.5
CNN_to_YOLO,261,6,6,0,6,100.0,0.35892438888549805,0.0,2.2611985206604004,46.44677734375,605.1640625,3.0,0.5
CNN_to_YOLO,750,15,15,2,13,86.66666666666667,0.4495079517364502,1.091357707977295,50.93945026397705,191.83447265625,757.95703125,38.9,2.5933333333333333
CNN_to_YOLO,750,15,15,2,13,86.66666666666667,0.3812897205352783,1.0989017486572266,43.54583239555359,365.71826171875,763.28125,79.9,5.326666666666667
CNN_to_YOLO,630,11,11,11,0,0.0,0.39112091064453125,1.3243918418884277,7.335432767868042,365.71826171875,720.81640625,332.2,30.2
CNN_to_YOLO,630,11,11,11,0,0.0,0.37340807914733887,1.1161348819732666,6.763966798782349,191.83447265625,738.17578125,106.69999999999999,9.7
CNN_to_YOLO,630,11,11,11,0,0.0,0.39087343215942383,1.1146719455718994,6.809833526611328,191.83447265625,728.6015625,106.69999999999999,9.7
CNN_to_YOLO,366,7,7,0,7,100.0,0.3884260654449463,0.0,7.707413196563721,46.44677734375,603.42578125,10.5,1.5
CNN_to_YOLO,366,7,7,0,7,100.0,0.37183451652526855,0.0,7.700571775436401,46.44677734375,603.0,10.5,1.5
CNN_to_YOLO,273,5,5,5,0,0.0,0.36090636253356934,0.8794083595275879,4.57279634475708,191.83447265625,735.05078125,48.5,9.7
CNN_to_YOLO,273,5,5,5,0,0.0,0.3048820495605469,0.9358274936676025,4.288440465927124,365.71826171875,739.39453125,151.0,30.2
CNN_to_YOLO,630,11,11,11,0,0.0,0.39183497428894043,1.2355718612670898,7.113274335861206,365.71826171875,725.2734375,332.2,30.2
CNN_to_YOLO,630,11,11,11,0,0.0,0.4140768051147461,1.1449294090270996,6.895904779434204,191.83447265625,729.21875,106.69999999999999,9.7
CNN_to_YOLO,366,7,7,0,7,100.0,0.38184642791748047,0.0,6.506835699081421,46.44677734375,603.7265625,10.5,1.5
CNN_to_YOLO,366,7,7,0,7,100.0,0.3768272399902344,0.0,7.321510314941406,46.44677734375,634.89453125,10.5,1.5
CNN_to_YOLO,750,15,15,2,13,86.66666666666667,0.2663557529449463,0.9450485706329346,28.185150623321533,365.71826171875,762.73828125,79.9,5.326666666666667
CNN_to_YOLO,750,15,15,2,13,86.66666666666667,0.27493882179260254,0.9793362617492676,28.575890064239502,191.83447265625,765.78515625,38.9,2.5933333333333333
CNN_to_YOLO,273,5,5,5,0,0.0,0.2390589714050293,0.7138738632202148,3.415445566177368,191.83447265625,743.62109375,48.5,9.7
CNN_to_YOLO,273,5,5,5,0,0.0,0.25368762016296387,0.7381205558776855,3.5552186965942383,365.71826171875,739.90234375,151.0,30.2
